"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2019-12-13 20:30:00 +0000",0.25,0.758,1.104,6,-48.2,72,30.2,0.758,235.826,64.544,9.01,2.032,0.522,0.444,0.25,1.104,0.66,0.894,1.054,19556.8,0,868.15,NA,0.894,570.444,93.792,6.688,0.76,0.244,0.206,0.66,1.054,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 20:45:00 +0000",50.126,135.918,196.014,19,-47.75,72.625,29.625,90.772,9606.972,2912.376,1189.034,266.491,82.962,49.621,33.481,131.031,53.705,135.802,193.784,19371,0,868.162,NA,90.608,10223.871,3081.769,1207.691,251.002,61.366,40.098,35.778,129.44,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 21:00:00 +0000",9.719,25.047,35.73,34,-48.286,75.429,27.714,20.6,2023.147,597.911,215.659,48.529,14.85,8.704,8.479,29.801,10.309,24.579,32.011,19443.429,0,868.029,NA,19.999,2162.864,625.677,206.853,40.467,7.693,5.03,8.903,26.509,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 21:15:00 +0000",0,0.08,0.189,49,-49,76.5,27,0.08,80.609,21.085,4.299,0.649,0.175,0.116,0,0.189,0.011,0.039,0.065,19308,0,867.938,NA,0.039,67.9,17.876,2.839,0.259,0.112,0.101,0.011,0.065,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 21:30:00 +0000",0,0,0.053,64,-50.857,77,26,0,63.224,13.93,1.833,0.374,0.173,0.109,0,0.053,0,0,0,19443.429,0,867.696,NA,0,36.714,9.047,1.089,0.097,0.031,0.031,0,0,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 21:45:00 +0000",0.024,0.024,0.049,79,-49.5,77.875,26,0.024,58.516,13.325,1.391,0.16,0.051,0.051,0.024,0.049,0,0,0,19465,0,867.268,NA,0,27.684,7.204,0.542,0.1,0.05,0,0,0,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 22:00:00 +0000",0,0,0.081,94,-50.429,78,25.143,0,51.45,12.221,1.719,0.377,0.127,0.127,0,0.081,0,0,0,19410.286,0,866.977,NA,0,24.081,6.507,0.78,0.083,0.011,0,0,0,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-13 22:15:00 +0000",0,0,0,104,-50,78,25,0,53.617,11.667,1.053,0.6,0,0,0,0,0,0,0,19394.667,0,866.78,NA,0,28.28,6.687,0.56,0.207,0.077,0,0,0,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 18:15:00 +0000",1.394,2.851,3.59,9,-51.75,71.75,24.875,2.851,433.45,119.278,22.661,3.665,1.004,0.572,1.394,3.59,1.071,1.83,2.22,19614,0,876.778,NA,1.83,426.748,114.85,15.589,1.634,0.492,0.354,1.071,2.22,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 18:30:00 +0000",1.044,2.416,2.747,11.429,-52,72,24.429,2.416,406.566,112.234,20.593,2.974,0.527,0.233,1.044,2.747,1.073,1.777,2.04,19661.714,0,876.764,NA,1.777,415.054,112.149,14.809,1.45,0.273,0.213,1.073,2.04,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 18:45:00 +0000",8.92,20.616,28.287,16,-52.143,72.286,24,14.431,1828.339,536.309,170.686,34.836,10.589,6.457,6.349,19.814,9.169,20.5,27.87,19542.857,0,876.713,NA,14.291,1861.59,541.401,171.663,34.217,7.401,5.073,6.584,19.534,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 19:00:00 +0000",44.796,114.725,163.668,31,-51.75,74.5,23.5,79.042,8580.608,2563.178,974.882,218.312,68.669,40.068,31.234,113.218,45.318,112.074,157.386,19381,0,876.625,NA,77.081,8671.55,2589.588,983.189,203.802,48.552,31.474,31.635,108.532,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 19:15:00 +0000",0,0.42,0.489,46,-50.286,75.714,22.571,0.42,164.279,44.174,8.504,0.789,0.056,0.056,0,0.489,0.019,0.143,0.234,19588.571,0,876.623,NA,0.143,131.259,35.001,5.413,0.617,0.094,0.069,0.019,0.234,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 19:30:00 +0000",0,0.138,0.221,61,-50.75,76,22,0.138,141.872,36.464,6.478,0.595,0.22,0,0,0.221,0,0.031,0.12,19401,0,876.642,NA,0.031,101.864,27.76,3.842,0.334,0.164,0.134,0,0.12,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 19:45:00 +0000",0,0.076,0.131,76,-50.571,76.429,22,0.076,121.577,31.919,5.064,0.374,0.061,0.061,0,0.131,0,0,0.026,19427.429,0,876.687,NA,0,92.029,23.701,3.379,0.123,0.027,0,0,0.026,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 20:00:00 +0000",0,0,0,85,-50,76.5,22,0,111.48,28.12,5.17,0.38,0,0,0,0,0,0,0,19564,0,876.74,NA,0,79.505,21.165,3.63,0.47,0.105,0,0,0,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
"2019-12-16 20:15:00 +0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43955,"6147 N Maplewood Living Room",41.993674,-87.6932,"inside","PMS5003+PMS5003+BME280"
