"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2019-12-21 01:45:00 +0000",2.29,5.1,6.59,1,-52,70,18,5.1,753,214.29,41.06,6.55,2.27,0.35,2.29,6.59,3.44,6.6,7.27,20008,NA,875.71,NA,6.6,875,253.06,55.38,6.12,0,0,3.44,7.27,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 02:00:00 +0000",2.959,5.704,6.409,5.571,-55.714,71.143,17.571,5.704,739.766,216.803,39.687,6.403,1.04,0.269,2.959,6.409,3.493,6.373,7.244,19637.714,0,875.441,NA,6.373,861.394,236.834,46.65,5.26,1.029,0.591,3.493,7.244,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 02:15:00 +0000",2.85,5.316,6.338,9,-54,73,16.2,5.316,699.416,206.478,35.608,6.392,1.636,0.528,2.85,6.338,3.076,5.624,6.424,19664,0,875.768,NA,5.624,807.664,216.754,43.49,4.54,0.886,0.608,3.076,6.424,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-23 15:15:00 +0000",0.255,0.632,0.823,6,-54,68.667,14.833,0.632,250.675,76.767,8.27,1.47,0.3,0.152,0.255,0.823,0.015,0.343,0.653,19702.667,0,862.537,NA,0.343,229.918,55.11,9.268,1.412,0.44,0.238,0.015,0.653,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-23 15:30:00 +0000",43.19,151.279,262.699,19,-52.857,71.857,13.857,103.447,9433.837,2827.881,1282.731,463.664,162.753,61.916,30.703,179.181,49.596,134.433,215.201,19802.286,0,862.694,NA,92.629,10051.221,2936.907,1158.16,288.213,100.594,71.373,35.004,148.106,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-23 15:45:00 +0000",0.445,2.009,3.744,34,-52.125,74.875,13,2.009,263.53,81.248,20.282,7.22,2.405,0.944,0.445,3.744,0.465,1.89,3.095,19604,0,862.762,NA,1.89,275.852,65.498,20.648,4.972,1.505,1.005,0.465,3.095,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-23 16:00:00 +0000",0.12,0.191,0.191,49,-52.286,77.143,12,0.191,281.111,49.55,1.189,0.264,0,0,0.12,0.191,0,0,0.053,19643.429,0,862.8,NA,0,59.786,8.287,1.059,0.26,0.14,0,0,0.053,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2019-12-23 16:15:00 +0000",0.015,0.06,0.06,58,-51,78,12,0.06,156.645,50.48,0.405,0,0,0,0.015,0.06,0,0,0,19840,0,862.78,NA,0,72.87,8.715,1.75,0,0,0,0,0,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 16:15:00 +0000",11.91,16.07,16.86,2,-71,69,30,16.07,2243.72,638.3,84.26,5.4,1.02,1.02,11.91,16.86,13,16.42,17.42,17768,NA,995.31,NA,16.42,2434.95,668.75,87.2,3.65,1.4,1.4,13,17.42,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 16:30:00 +0000",12.271,16.663,17.591,10,-67,67.857,31.714,16.663,2212.461,634.233,79.246,8.169,1.34,0.651,12.271,17.591,12.679,17.149,18.454,18792,0,995.036,NA,17.149,2353.184,654.181,97.837,5.831,1.537,1.001,12.679,18.454,44705,"IUPUI112",39.858941,-86.062938,"outside","PMS5003+PMS5003+BME280"
