"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2019-03-01 00:00:00 +0000",0.33,0.11,0.07,215.5,-47.5,84,17,0.11,41.12,1.845,0.65,0.35,0.35,0.09,0.33,0.07,0.11,0.22,0.22,31320,0.035,860.61,NA,0.22,44.61,10.525,2.215,0.64,0.58,0.58,0.11,0.22,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-05 17:00:00 +0000",2.901,4.598,5.076,11.375,-64.25,80.875,9,4.598,716.731,203.071,29.779,2.91,0.704,0,2.901,5.076,3.84,6.201,7.316,29923,0.03,995.111,NA,6.201,872.156,252.196,41.779,4.505,1.399,0.514,3.84,7.316,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-05 17:15:00 +0000",2.632,4.229,4.627,24.667,-64.25,82,8.417,4.229,662.488,187.931,28.218,2.467,0.698,0,2.632,4.627,3.438,5.527,6.213,29640,0.03,995.189,NA,5.527,802.996,232.281,37.749,2.975,1.072,0.582,3.438,6.213,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-05 17:30:00 +0000",2.71,4.18,4.82,33,-63,82,8,4.18,640.13,184.4,23.89,2.8,0.33,0,2.71,4.82,3.37,5.33,5.85,29728,0.03,995.2,NA,5.33,783.39,227.04,40.52,2.17,0.61,0.61,3.37,5.85,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-21 13:15:00 +0000",3.39,5.835,6.245,0,-53,72,28.5,5.835,466.93,138.84,28.535,1.91,0.415,0,3.39,6.245,4.89,6.165,6.165,31080,0.03,986.425,NA,6.165,672,194.22,19.89,0.445,0,0,4.89,6.165,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-21 13:30:00 +0000",9.31,14.33,15.53,1,-89,67,32,14.33,1708.53,502.64,91.51,6.58,2,0,9.31,15.53,8,12.49,15.13,31096,0.03,986.63,NA,12.49,1533.33,436.09,68.89,6.67,3.42,1.78,8,15.13,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-22 13:30:00 +0000",1,1.47,1.47,0,-76,73,23,1.47,214.8,66.93,5.6,0.47,0,0,1,1.47,1.33,1.33,1.33,31232,0.04,987.77,NA,1.33,303.33,84.89,3.11,0,0,0,1.33,1.33,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-22 13:45:00 +0000",1.487,2.338,2.64,6.636,-70.455,76,22,2.338,473.653,132.857,14.743,1.266,0.621,0.108,1.487,2.64,2.039,3.016,3.233,30830.545,0.03,987.973,NA,3.016,558.255,159.258,18.315,1.361,0.86,0.323,2.039,3.233,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-03-22 14:00:00 +0000",1.574,2.277,2.561,22,-65.833,78.667,19.167,2.277,489.008,136.063,14.172,1.124,0.485,0.11,1.574,2.561,2.034,3.01,3.344,30842.909,0.03,988.254,NA,3.01,560.205,160.135,19.682,1.611,0.759,0.703,2.034,3.344,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 13:15:00 +0000",3.778,5.33,5.815,2,-54,70,50.25,5.33,753.825,209.88,27.722,1.698,0.515,0.095,3.778,5.815,4.098,5.852,7.095,30836,0.04,986.74,NA,5.852,836.19,235.445,34.438,3.328,1.258,0.932,4.098,7.095,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 13:30:00 +0000",3.333,5.008,5.416,12.667,-53.833,74.333,45.5,5.008,837.622,235.621,30.12,2.487,0.647,0.09,3.333,5.416,4.307,6.649,7.734,30794,0.032,986.65,NA,6.649,959.937,279.376,42.457,4.305,1.662,0.806,4.319,7.785,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 13:45:00 +0000",2.875,4.551,5.224,28,-81.364,78.273,41.273,4.551,703.449,202.321,31.009,3.222,0.973,0.299,2.875,5.224,3.247,5.216,6.093,30544,0.03,986.086,NA,5.216,784.42,222.843,36.844,3.545,0.892,0.634,3.331,6.191,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 14:00:00 +0000",2.066,3.046,3.344,42.636,-73.182,80.364,38.455,3.046,542.476,152.177,18.954,1.471,0.417,0.318,2.066,3.344,1.936,3.342,3.875,30774.545,0.03,985.968,NA,3.342,549.28,157.624,24.546,2.493,1.016,0.647,1.936,3.875,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 14:15:00 +0000",2.01,3.234,3.57,57.364,-83,81.545,36.727,3.234,538.786,155.057,21.703,2.036,0.541,0.306,2.01,3.57,2.158,3.39,3.965,30910.545,0.03,986.075,NA,3.39,562.863,162.506,25.648,2.227,0.979,0.873,2.158,3.965,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 14:30:00 +0000",2.229,3.687,4.096,72,-83.818,82.455,35.636,3.687,604.765,171.635,25.402,2.315,0.699,0.309,2.229,4.096,2.674,4.452,5.219,31018.909,0.031,986.115,NA,4.452,648.759,188.559,33.3,3.141,1.329,0.794,2.674,5.219,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 14:45:00 +0000",2.475,3.863,4.158,87.333,-82.417,83.25,34.417,3.863,606.649,175.645,26.07,1.9,0.458,0.35,2.475,4.158,2.568,4.434,5.364,30855.333,0.03,986.41,NA,4.434,637.509,183.283,33.61,3.602,1.044,0.847,2.568,5.364,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 15:00:00 +0000",2.399,3.616,3.838,102.636,-84.273,84,33.364,3.616,590.094,170.345,22.841,1.544,0.395,0.29,2.399,3.838,2.519,4.441,4.916,30913.455,0.03,986.509,NA,4.441,638.22,185.486,32.935,2.995,0.639,0.799,2.519,4.916,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 15:15:00 +0000",2.595,4.154,4.517,117.364,-83.364,84.364,32.909,4.154,630.606,179.971,26.914,2.523,0.697,0.29,2.595,4.517,2.822,4.824,5.71,30971.636,0.03,986.541,NA,4.824,681.942,197.616,37.133,3.71,1.222,0.743,2.822,5.71,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 15:30:00 +0000",3.116,5.201,5.918,132.667,-83.833,85,32.083,5.201,724.064,206.638,36.344,3.492,1.19,0.29,3.116,5.918,3.408,5.925,7.732,30901.091,0.03,986.539,NA,5.925,782.643,227.564,45.009,5.974,2.013,0.862,3.408,7.732,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 15:45:00 +0000",2.745,4.689,5.213,148,-84.091,85,32,4.689,667.334,193.072,33.546,3.29,1.047,0.299,2.745,5.213,3.192,5.703,6.944,30951.333,0.03,986.448,NA,5.703,729.27,213.018,41.288,5.968,1.453,0.866,3.192,6.944,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 16:00:00 +0000",2.862,4.687,5.036,162.636,-82.273,85,32,4.687,660.709,192.651,33.652,2.569,0.526,0.3,2.862,5.036,3.004,5.092,6.412,30766.545,0.03,986.685,NA,5.092,708.48,204.996,39.674,4.251,1.354,1.025,3.004,6.412,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 16:15:00 +0000",2.286,3.576,3.93,177.364,-82.455,85,32,3.576,593.461,170.266,26.495,1.811,0.522,0.174,2.286,3.93,2.565,4.598,5.727,30840,0.03,986.743,NA,4.598,668.002,193.401,36.046,3.784,1.713,1.178,2.565,5.727,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 16:30:00 +0000",1.882,3.194,3.578,192.667,-82.917,85,32,3.194,541.399,153.968,23.402,1.989,0.655,0.193,1.882,3.578,2.758,4.724,5.762,30870.545,0.03,986.579,NA,4.724,673.249,195.204,34.706,3.811,1.332,0.912,2.758,5.762,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 16:45:00 +0000",1.642,2.757,3.033,208,-82.818,85.273,32,2.757,474.075,134.056,19.127,1.761,0.415,0.343,1.642,3.033,2.218,3.838,4.645,30895.333,0.03,986.366,NA,3.838,579.986,167.86,28.414,2.963,1.136,1.115,2.218,4.645,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 17:00:00 +0000",1.759,2.955,3.172,222.636,-83.364,85.818,31.545,2.955,509.758,144.152,20.242,1.665,0.346,0.315,1.759,3.172,2.503,4.327,5.112,30794.182,0.03,986.234,NA,4.327,623.615,182.959,32.025,3.35,1.523,1.112,2.503,5.112,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
"2019-04-08 17:15:00 +0000",2.897,4.864,5.371,237.364,-82.182,86,32.909,4.864,712.66,202.768,34.41,3.025,0.837,0.02,2.897,5.371,3.472,6.277,7.599,30861.818,0.03,986.115,NA,6.277,831.159,239.821,45.482,5.314,1.909,1.072,3.472,7.599,27671,"Center for Inquiry at School 84",39.85733,-86.150309,"outside","PMS5003+PMS5003+BME280"
