"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2020-01-02 19:45:00 +0000",0.311,0.524,1.836,5,-52.375,73,24.125,0.524,174.99,47.733,7.86,2.115,0.812,0.233,0.812,0.233,NA,NA,NA,28344,0.04,864.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 20:00:00 +0000",0.029,0.304,0.681,7.571,-56.571,78.571,20.571,0.304,175.652,48.712,7.455,1.406,0.708,0.089,0.258,0.524,NA,NA,NA,20934.857,0.027,864.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 20:15:00 +0000",0.007,0.204,0.659,20,-57.286,81.143,18.571,0.204,175.166,46.79,6.166,1.251,0.713,0.151,0.007,0.659,NA,NA,NA,19906.286,0.03,864.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 20:30:00 +0000",98.146,295.835,509.672,35,-57.625,82.25,17.875,197.305,19822.97,6177.962,2819.444,663.939,304.196,40.125,65.606,340.255,NA,NA,NA,19964,0.03,864.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 20:45:00 +0000",4.566,11.133,16.246,50,-57.571,83.857,17,10.607,1091.45,321.051,96.866,18.741,7.111,0.873,4.466,15.464,NA,NA,NA,19921.143,0.03,864.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 21:00:00 +0000",0.018,0.185,0.524,65,-58.125,85.5,16.5,0.185,100.685,28.734,6.82,1.161,0.589,0.078,0.018,0.524,NA,NA,NA,20135,0.03,864.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 21:15:00 +0000",0,0,0,80,-58.857,86.571,16,0,36.444,9.56,1.81,0.151,0.06,0.03,0,0,NA,NA,NA,20042.286,0.03,864.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 21:30:00 +0000",0,0,0.014,95,-58.5,87.25,16,0,37.369,10.338,1.111,0.16,0.028,0.028,0,0.014,NA,NA,NA,20134,0.03,864.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 21:45:00 +0000",0,0,0,110,-59,88,15,0,27.771,7.686,0.926,0.031,0,0,0,0,NA,NA,NA,20164.571,0.03,864.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 22:00:00 +0000",0,0,0,125,-58.625,88,15,0,26.459,6.888,0.856,0.055,0.055,0.055,0,0,NA,NA,NA,20092,0.03,865.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 22:15:00 +0000",0,0,0,140,-57.286,88.143,15,0,22.236,5.57,0.796,0.061,0.061,0,0,0,NA,NA,NA,19921.143,0.03,865.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 22:30:00 +0000",0,0,0,155,-57.5,89,15,0,20.184,5.442,0.742,0,0,0,0,0,NA,NA,NA,20112,0.03,865.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 22:45:00 +0000",0,0,0,170,-57.429,89,15,0,13.353,3.851,0.584,0.061,0,0,0,0,NA,NA,NA,20189.714,0.03,866.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 23:00:00 +0000",0,0,0,185,-57,89,15,0,13.211,3.405,0.38,0.028,0.028,0.028,0,0,NA,NA,NA,20029,0.03,866.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-02 23:15:00 +0000",0,0,0,199,-57.833,89,15,0,11.11,3.383,0.32,0,0,0,0,0,NA,NA,NA,19817.333,0.03,866.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 17:00:00 +0000",0,0.028,0.138,7,-60.25,72.5,22.75,0.028,109.988,27.7,2.818,0.435,0.15,0.042,0,0.138,NA,NA,NA,17926,0.035,1009.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 17:15:00 +0000",0,0.036,0.056,19,-58.625,83.875,16.75,0.036,119.89,32.88,3.516,0.262,0.111,0.005,0,0.056,NA,NA,NA,18053,0.03,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 17:30:00 +0000",0,0.024,0.069,34,-57.714,89.286,13.429,0.024,122.8,33.536,3.391,0.367,0.216,0,0,0.069,NA,NA,NA,17809.143,0.03,1009.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 17:45:00 +0000",0,0.016,0.055,49,-56.375,91,12.125,0.016,128.9,34.719,2.851,0.375,0.081,0,0,0.055,NA,NA,NA,17771,0.03,1008.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 18:00:00 +0000",0,0.013,0.064,64,-57.857,92,11.571,0.013,134.269,36.424,2.963,0.184,0.121,0,0,0.064,NA,NA,NA,18219.429,0.03,1008.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 18:15:00 +0000",0.774,1.6,1.838,79,-59,92,11,1.6,340.924,94.715,14.792,1.089,0.396,0.008,0.774,1.838,NA,NA,NA,19289,0.03,1008.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 18:30:00 +0000",1.147,2.067,2.513,94,-57.857,92.857,10.429,2.067,391.58,107.95,16.809,1.856,0.541,0.051,1.147,2.513,NA,NA,NA,19483.429,0.03,1008.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 18:45:00 +0000",0.491,1.056,1.235,109,-60.875,93,10.625,1.056,271.062,74.525,10.72,0.926,0.228,0.026,0.491,1.235,NA,NA,NA,19354,0.03,1008.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 19:00:00 +0000",0.247,0.599,0.707,124,-63.429,93,10.143,0.599,221.994,62.686,7.874,0.643,0.123,0,0.247,0.707,NA,NA,NA,19241.143,0.03,1008.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 19:15:00 +0000",0.06,0.299,0.318,139,-61.25,93,10.125,0.299,181.269,49.815,5.82,0.218,0.029,0,0.06,0.318,NA,NA,NA,19544,0.03,1008.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 19:30:00 +0000",0,0.18,0.31,154,-60.714,93,10.143,0.18,159.757,44.49,5.744,0.677,0.183,0,0,0.31,NA,NA,NA,19387.429,0.03,1008.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 19:45:00 +0000",0,0.132,0.241,169,-60.25,93,10,0.132,145.866,39.139,4.778,0.53,0.14,0,0,0.241,NA,NA,NA,19396,0.03,1008.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 20:00:00 +0000",0,0.057,0.207,184,-56.571,93,10,0.057,124.193,33.457,4.596,0.464,0.273,0.031,0,0.207,NA,NA,NA,19363.429,0.03,1008.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 20:15:00 +0000",0,0.062,0.192,199,-57.125,93,10.375,0.062,124.326,33.454,4.188,0.591,0.244,0.028,0,0.192,NA,NA,NA,19545,0.03,1009.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 20:30:00 +0000",0,0.024,0.12,214,-57.143,93.714,10,0.024,117.441,32.376,3.869,0.339,0.214,0,0,0.12,NA,NA,NA,19363.429,0.03,1008.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 20:45:00 +0000",0.045,0.351,0.412,229,-57.25,94,10.125,0.351,178.01,48.674,5.646,0.402,0.106,0,0.045,0.412,NA,NA,NA,19396,0.03,1008.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 21:00:00 +0000",0,0.094,0.151,244,-56.286,94,10.429,0.094,144.469,39.089,4.9,0.463,0.123,0.031,0,0.151,NA,NA,NA,19387.429,0.03,1008.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 21:15:00 +0000",0.198,0.528,0.644,259,-55.875,93.25,9.5,0.528,196.516,53.689,6.719,0.591,0.19,0.055,0.198,0.644,NA,NA,NA,19204,0.03,1008.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 21:30:00 +0000",0.151,0.573,0.776,274,-57.143,90,8.143,0.573,210.969,58.014,6.869,0.766,0.339,0.03,0.151,0.776,NA,NA,NA,19459.429,0.03,1009.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
"2020-01-08 21:45:00 +0000",0,0.024,0.101,289,-55.125,89.375,9.75,0.024,117.37,31.892,3.539,0.304,0.196,0.028,0,0.101,NA,NA,NA,19608,0.03,1009.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45359,"Beke-Sato Office",41.993644,-87.693041,"inside","PMS5003+PMS5003+BME280"
