"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2020-03-09 18:00:00 +0000",17.625,24.192,25.378,1.75,-77.75,68.25,30.5,24.192,2895.338,862.598,138.448,4.872,1.605,0.812,17.625,25.378,18.198,24.44,25.678,20008,0.005,997.618,NA,24.44,2987.62,903.71,139.322,5.91,1.595,0.682,18.038,25.678,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 18:15:00 +0000",19.221,26.593,27.61,5.857,-72.143,70.857,28,26.593,3083.231,913.389,154.254,6.023,1.387,0.551,19.1,27.61,20.046,27.464,28.957,19572.571,0.017,997.114,NA,27.396,3329.719,1009.08,161.811,6.889,2.053,0.877,19.55,28.957,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 18:30:00 +0000",18.864,25.883,26.99,19,-74,70.429,28.143,25.87,2969.203,883.753,153.757,5.426,1.66,0.521,18.809,26.99,19.961,27.687,28.831,19362.286,0.02,996.956,NA,27.524,3317.244,1003.566,161.633,7.657,1.494,0.483,19.466,28.831,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 18:45:00 +0000",14.242,19.235,19.94,34,-74.125,69.875,30.125,19.235,2275.511,674.609,105.066,4.064,0.918,0.392,14.242,19.94,15.326,20.509,21.355,19330,0.02,996.79,NA,20.509,2564.409,777.434,112.239,4.906,1.27,0.304,15.326,21.355,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 19:00:00 +0000",11.693,16.134,16.6,49,-73.857,69.571,31,16.134,1938.134,573.474,86.097,3.404,0.747,0.201,11.693,16.6,12.763,16.701,17.569,19524.571,0.02,996.386,NA,16.701,2178.714,654.956,87.466,3.856,1.077,0.57,12.763,17.569,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 19:15:00 +0000",10.528,14.668,15.16,64,-74.5,69.25,31.5,14.668,1792.876,527.875,79.215,3.181,0.746,0.279,10.528,15.16,11.63,15.05,15.579,19437,0.02,996.075,NA,15.05,2002.648,602.112,79.138,3.349,0.758,0.318,11.63,15.579,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 19:30:00 +0000",11.39,15.456,15.909,79,-75.857,69.714,31.286,15.456,1922.311,563.914,79.253,2.704,0.673,0.179,11.39,15.909,12.623,16.536,17.181,19208,0.02,995.711,NA,16.536,2169.57,652.287,84.359,3.63,0.884,0.383,12.623,17.181,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 19:45:00 +0000",9.411,12.71,13.441,94,-75.5,69.75,31.5,12.71,1645.504,484.63,69.11,2.609,0.829,0.369,9.411,13.441,10.508,13.796,14.418,19394,0.02,995.768,NA,13.796,1829.121,548.895,70.772,3.628,0.994,0.339,10.508,14.418,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 20:00:00 +0000",7.976,10.287,10.894,109,-75.571,68.857,32,10.287,1418.386,416.054,55.321,1.59,0.59,0.293,7.976,10.894,8.707,11.009,11.684,19305.143,0.02,995.556,NA,11.009,1541.089,461.977,52.364,2.85,0.956,0.449,8.707,11.684,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 20:15:00 +0000",6.649,8.449,8.858,124,-74.5,68.375,32,8.449,1207.128,354.089,45.356,1.205,0.48,0.142,6.649,8.858,7.331,9.559,9.889,19224,0.02,995.394,NA,9.559,1353.244,404.692,50.021,2.1,0.492,0.084,7.331,9.889,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 20:30:00 +0000",6.327,8.15,8.364,139,-72.857,68.143,32.143,8.15,1155.571,338.677,43.65,1.131,0.319,0.059,6.327,8.364,7.066,9.127,9.627,19257.143,0.02,995.447,NA,9.127,1312.747,394.231,43.956,2.264,0.683,0.226,7.066,9.627,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 20:45:00 +0000",5.454,7.2,7.621,154,-75.125,68,33.5,7.2,1033.334,300.652,42.428,1.661,0.599,0.129,5.454,7.621,6.43,8.471,8.802,19479,0.02,995.715,NA,8.471,1203.535,361.582,44.481,1.789,0.424,0.166,6.43,8.802,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 21:00:00 +0000",5.113,6.674,6.997,169,-75.143,67.857,35.286,6.674,989.021,285.703,34.953,1.521,0.549,0.126,5.113,6.997,6.084,7.704,8.047,19330.286,0.02,995.641,NA,7.704,1130.673,339.946,38.587,1.851,0.484,0.13,6.084,8.047,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 21:15:00 +0000",4.676,6.042,6.465,184,-75.875,67.625,36.5,6.042,900.649,262.108,31.406,1.945,0.53,0.158,4.676,6.465,5.45,7.094,7.388,19351,0.02,995.351,NA,7.094,1055.428,314.574,33.795,1.906,0.4,0.146,5.45,7.388,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 21:30:00 +0000",4.961,6.551,6.809,199,-74.571,67,38.857,6.551,973.897,281.864,36.489,1.454,0.397,0.12,4.961,6.809,5.62,7.213,7.581,19377.143,0.02,994.901,NA,7.213,1072.263,319.054,36.194,2.069,0.484,0.189,5.62,7.581,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 21:45:00 +0000",4.959,6.375,6.7,214,-73.5,67.125,37.75,6.375,940.504,275.788,32.496,1.504,0.404,0.188,4.959,6.7,5.26,7.086,7.398,19436,0.02,994.662,NA,7.086,1022.796,306.436,36.28,2.264,0.356,0.189,5.26,7.398,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 22:00:00 +0000",3.874,5.214,5.486,229,-73.571,66.714,38.857,5.214,791.473,228.649,29.059,1.291,0.347,0.154,3.874,5.486,4.493,6.007,6.546,19306.286,0.02,994.69,NA,6.007,899.236,266.031,33.466,1.951,0.707,0.3,4.493,6.546,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 22:15:00 +0000",3.942,5.096,5.276,244,-74.125,66,39.75,5.096,791.616,229.011,27.236,1.186,0.295,0.08,3.942,5.276,4.468,6.05,6.349,19266,0.02,994.311,NA,6.05,902.054,269.409,32.178,1.784,0.439,0.166,4.468,6.349,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 22:30:00 +0000",4.216,5.349,5.734,259,-73.286,66.429,38.286,5.349,836.686,242.024,27.92,1.343,0.557,0.186,4.216,5.734,4.717,6.244,6.501,19427.429,0.02,993.839,NA,6.244,931.853,277.489,31.2,1.727,0.423,0.199,4.717,6.501,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 22:45:00 +0000",4.304,5.638,6.008,274,-75.75,67,36.25,5.638,859.288,250.174,29.515,1.545,0.506,0.286,4.304,6.008,4.875,6.499,6.87,19372,0.02,993.905,NA,6.499,970.676,290.124,32.102,2.228,0.519,0.186,4.875,6.87,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 23:00:00 +0000",4.039,5.257,5.423,289,-75.571,66.857,34.714,5.257,797.556,231.587,29.189,1.169,0.221,0.13,4.039,5.423,4.557,5.869,6.197,19330.286,0.02,993.897,NA,5.869,927.534,276.091,30.214,1.401,0.497,0.221,4.557,6.197,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 23:15:00 +0000",3.735,4.978,5.238,304,-74.375,67,34,4.978,753.6,219.964,26.915,1.368,0.422,0.191,3.735,5.238,4.079,5.548,5.806,19202,0.02,994.024,NA,5.548,851.461,252.64,29.226,1.536,0.399,0.22,4.079,5.806,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 23:30:00 +0000",3.599,4.659,5.021,319,-75.143,67,34,4.659,744.869,216.967,25.321,1.191,0.453,0.211,3.599,5.021,4.413,5.766,9.093,19281.143,0.02,993.971,NA,5.751,870.013,260.976,29.824,1.63,0.557,0.221,4.927,6.183,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-09 23:45:00 +0000",3.636,4.839,5.104,334,-75.875,66.25,35.5,4.839,743.375,217.971,26.386,1.381,0.405,0.18,3.636,5.104,4.191,5.522,5.765,19330,0.02,993.911,NA,5.522,830.44,249.429,30.472,1.704,0.379,0.085,4.191,5.765,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 00:00:00 +0000",3.603,4.527,4.749,349,-76.857,65.286,38.714,4.527,715.97,210.677,24.611,0.894,0.283,0.156,3.603,4.749,4.32,5.566,5.914,19289.143,0.02,993.956,NA,5.566,834.136,250.03,26.904,1.663,0.503,0.136,4.32,5.914,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 00:15:00 +0000",3.729,4.931,5.114,364,-75.875,64.25,41.625,4.931,755.152,218.74,26.951,1.384,0.268,0.134,3.729,5.114,4.439,5.894,6.348,19331,0.02,993.945,NA,5.894,861.382,257.911,30.994,2.05,0.614,0.26,4.439,6.348,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 00:30:00 +0000",4.381,5.731,6.039,379,-75,63,44.714,5.731,843.944,249.537,29.783,1.327,0.32,0.12,4.381,6.039,4.789,6.414,6.844,19257.143,0.02,993.741,NA,6.414,925.477,278.504,34.644,1.819,0.616,0.316,4.789,6.844,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 00:45:00 +0000",4.911,6.719,7.194,394,-76.5,62.5,45.875,6.719,927.935,271.289,36.945,1.659,0.589,0.192,4.911,7.194,5.776,7.504,7.775,19415,0.02,993.314,NA,7.504,1062.922,318.248,38.731,1.662,0.428,0.059,5.776,7.775,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 01:00:00 +0000",6.163,8.709,9.039,409,-75,62,46.571,8.709,1113.839,323.571,45.06,1.729,0.429,0.126,6.163,9.039,7.296,9.499,9.799,19500.571,0.02,993.014,NA,9.499,1291.157,386.533,49.931,1.979,0.421,0.169,7.296,9.799,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 01:15:00 +0000",7.538,10.025,10.414,424,-76.875,62.5,46,10.025,1256.081,369.811,50.192,2.185,0.568,0.108,7.538,10.414,7.841,10.086,10.678,19373,0.02,992.726,NA,10.086,1389.439,415.346,50.671,2.936,0.811,0.331,7.841,10.678,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 01:30:00 +0000",8.056,10.583,11.073,439,-75.286,63,46,10.583,1320.521,385.899,54.101,2.871,0.733,0.206,8.056,11.073,8.27,10.721,11.113,19500.571,0.02,992.784,NA,10.721,1470.244,439.011,53.816,1.923,0.546,0.201,8.27,11.113,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 01:45:00 +0000",8.419,10.808,11.126,454,-73.625,63,46,10.808,1357.415,397.805,53.694,1.855,0.465,0.221,8.419,11.126,8.792,11.141,11.632,19394,0.02,992.764,NA,11.141,1523.175,455.171,54.881,2.489,0.646,0.285,8.792,11.632,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
"2020-03-10 02:00:00 +0000",8.106,10.71,11.21,469,-74.143,62.571,47,10.71,1321.849,387.177,54.501,2.36,0.793,0.197,8.106,11.21,8.677,10.939,11.483,19330.286,0.02,992.674,NA,10.939,1499.859,450.461,53.01,2.753,0.697,0.347,8.677,11.483,12587,"IUPUI113",39.846771,-86.16557,"outside","PMS5003+PMS5003+BME280"
