"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2019-08-08 20:45:00 +0000",0.695,1.215,1.215,3,-48.5,77,40,1.215,373.715,104.52,10.705,0.48,0,0,0.695,1.215,0.275,0.565,0.565,20856,0.01,866.755,NA,0.565,310.335,89.135,8.45,0.02,0,0,0.275,0.565,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-08 21:00:00 +0000",35.096,154.007,219.103,6.286,-52.286,77.571,39.143,103.019,8129.374,2549.861,1392.026,339.34,72.456,54.304,23.61,146.559,34.251,156.587,253.826,20957.714,0.01,866.531,NA,104.674,8196.941,2606.984,1459.629,404.663,114.387,74.581,22.943,169.543,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-08 21:15:00 +0000",36.662,146.03,201.441,19,-52.625,80.875,37.125,99.498,8217.922,2542.88,1309.225,299.202,61.129,43.839,25.826,137.615,36.475,150.735,236.416,20752,0.01,866.235,NA,102.715,8399.436,2637.744,1378.7,367.005,101.389,64.25,25.654,161.264,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-08 21:30:00 +0000",0,0,0,34,-53,82,35.143,0,69.256,15.614,1.394,0,0,0,0,0,0,0,0.02,20891.429,0.01,865.914,NA,0,61.996,16.407,2.093,0.304,0.054,0.054,0,0.02,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-08 21:45:00 +0000",0,0,0,43.667,-52.667,83,34,0,57.947,13.377,1.37,0,0,0,0,0,0,0.023,0.023,20794.667,0.01,865.763,NA,0.023,56.537,15.11,2.343,0.293,0,0,0,0.023,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-15 20:00:00 +0000",0.14,0.24,0.94,2,-57,80,31,0.24,316.74,88.4,8.32,1.04,0.36,0.36,0.14,0.94,0.16,0.22,0.22,20856,0.01,866.89,NA,0.22,276.98,79.43,6.37,0,0,0,0.16,0.22,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-15 20:15:00 +0000",64.514,240.618,333.085,11,-58.75,82.875,28.5,161.495,14001.061,4317.84,2101.751,491.919,103.04,74.699,43.731,224.084,65.459,257.122,406.314,20684,0.01,866.746,NA,172.554,14631.471,4586.231,2313.769,638.792,173.468,111.42,44.335,272.818,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-15 20:30:00 +0000",0.013,0.041,0.041,26,-58.429,86.571,25.429,0.041,64.504,17.299,2.776,0.227,0,0,0.013,0.041,0.011,0.1,0.149,20626.286,0.01,866.637,NA,0.1,63.211,18.323,2.939,0.509,0.097,0.024,0.011,0.149,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-15 20:45:00 +0000",0,0,0.021,41,-60.75,89,24.375,0,41.449,12.528,1.725,0.108,0.054,0,0,0.021,0,0,0.015,20719,0.01,866.435,NA,0,37.009,11.025,1.786,0.03,0.03,0,0,0.015,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-08-15 21:00:00 +0000",0,0,0,50.5,-59.5,90,23.5,0,40.865,10.97,2.27,0,0,0,0,0,0,0,0.11,20456,0.01,866.255,NA,0,50.27,14.055,1.805,0.225,0.225,0,0,0.11,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
"2019-09-04 14:15:00 +0000",0.43,0.945,0.945,3,-58.5,78,28,0.945,327.965,90.74,10.115,0.965,0,0,0.43,0.945,0.62,1.32,1.385,19908,0.005,868.17,NA,1.32,333.96,98.935,12.2,1.395,0,0,0.62,1.385,37083,"Patty Jischke North",40.422824,-86.927349,"outside","PMS5003+PMS5003+BME280"
